stats: component=ResourceConsumption, ts=59192.865, cpu=143.3, cpu_max=28.6, mem=915148800, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59192.976, cpu=186.4, cpu_max=37.5, mem=915148800, recv_bandwidth=35808, sent_bandwidth=9955
stats: component=ResourceConsumption, ts=59193.087, cpu=113.6, cpu_max=42.9, mem=915148800, recv_bandwidth=0, sent_bandwidth=825
stats: component=ResourceConsumption, ts=59193.199, cpu=14.3, cpu_max=37.5, mem=915148800, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59193.310, cpu=25.0, cpu_max=37.5, mem=915148800, recv_bandwidth=1661, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59193.422, cpu=71.7, cpu_max=33.3, mem=919101440, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59193.532, cpu=56.8, cpu_max=14.3, mem=919101440, recv_bandwidth=1648, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59193.644, cpu=14.3, cpu_max=14.3, mem=918102016, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59193.755, cpu=14.2, cpu_max=14.3, mem=918102016, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59193.867, cpu=28.7, cpu_max=28.6, mem=916516864, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59193.978, cpu=43.0, cpu_max=14.3, mem=916996096, recv_bandwidth=35795, sent_bandwidth=9951
stats: component=ResourceConsumption, ts=59194.089, cpu=0.0, cpu_max=14.3, mem=914145280, recv_bandwidth=0, sent_bandwidth=825
stats: component=ResourceConsumption, ts=59194.201, cpu=50.0, cpu_max=25.0, mem=914522112, recv_bandwidth=1655, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59194.312, cpu=71.7, cpu_max=14.3, mem=914526208, recv_bandwidth=1704, sent_bandwidth=1433
stats: component=ResourceConsumption, ts=59194.423, cpu=28.7, cpu_max=14.3, mem=914698240, recv_bandwidth=1358, sent_bandwidth=483
stats: component=ResourceConsumption, ts=59194.534, cpu=0.0, cpu_max=25.0, mem=914698240, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59194.646, cpu=28.7, cpu_max=14.3, mem=913469440, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59194.757, cpu=113.6, cpu_max=14.3, mem=913469440, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59194.868, cpu=71.7, cpu_max=25.0, mem=913965056, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59194.979, cpu=43.0, cpu_max=28.6, mem=913965056, recv_bandwidth=33905, sent_bandwidth=13310
stats: component=ResourceConsumption, ts=59195.090, cpu=42.6, cpu_max=44.4, mem=912809984, recv_bandwidth=0, sent_bandwidth=827
stats: component=ResourceConsumption, ts=59195.201, cpu=75.0, cpu_max=37.5, mem=912809984, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59195.312, cpu=28.7, cpu_max=12.5, mem=912809984, recv_bandwidth=822, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59195.423, cpu=28.7, cpu_max=14.3, mem=912424960, recv_bandwidth=824, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59195.535, cpu=56.8, cpu_max=14.3, mem=912424960, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59195.647, cpu=0.0, cpu_max=25.0, mem=912424960, recv_bandwidth=985, sent_bandwidth=967
stats: component=ResourceConsumption, ts=59195.759, cpu=28.4, cpu_max=14.3, mem=912424960, recv_bandwidth=0, sent_bandwidth=484
stats: component=ResourceConsumption, ts=59195.870, cpu=14.3, cpu_max=37.5, mem=912424960, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59195.982, cpu=50.0, cpu_max=37.5, mem=912424960, recv_bandwidth=35480, sent_bandwidth=9863
stats: component=ResourceConsumption, ts=59196.094, cpu=14.3, cpu_max=25.0, mem=912424960, recv_bandwidth=0, sent_bandwidth=826
stats: component=ResourceConsumption, ts=59196.205, cpu=14.2, cpu_max=25.0, mem=916234240, recv_bandwidth=1616, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59196.316, cpu=14.3, cpu_max=28.6, mem=916365312, recv_bandwidth=831, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59196.427, cpu=43.0, cpu_max=28.6, mem=916369408, recv_bandwidth=829, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59196.538, cpu=42.6, cpu_max=14.3, mem=915435520, recv_bandwidth=35203, sent_bandwidth=9787
stats: component=ResourceConsumption, ts=59196.650, cpu=14.3, cpu_max=14.3, mem=915435520, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59196.761, cpu=14.2, cpu_max=14.3, mem=915058688, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59196.872, cpu=87.5, cpu_max=25.0, mem=915304448, recv_bandwidth=35658, sent_bandwidth=9913
stats: component=ResourceConsumption, ts=59196.983, cpu=43.0, cpu_max=33.3, mem=914530304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59197.095, cpu=57.3, cpu_max=14.3, mem=914530304, recv_bandwidth=1303, sent_bandwidth=1312
stats: component=ResourceConsumption, ts=59197.206, cpu=14.2, cpu_max=14.3, mem=914747392, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59197.317, cpu=0.0, cpu_max=0.0, mem=914747392, recv_bandwidth=824, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59197.429, cpu=86.0, cpu_max=28.6, mem=913522688, recv_bandwidth=823, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59197.540, cpu=42.6, cpu_max=42.9, mem=913522688, recv_bandwidth=35745, sent_bandwidth=9937
stats: component=ResourceConsumption, ts=59197.652, cpu=28.7, cpu_max=14.3, mem=914018304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59197.763, cpu=37.5, cpu_max=25.0, mem=914018304, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59197.875, cpu=14.2, cpu_max=12.5, mem=914018304, recv_bandwidth=35810, sent_bandwidth=9955
stats: component=ResourceConsumption, ts=59197.986, cpu=28.7, cpu_max=14.3, mem=912863232, recv_bandwidth=3331, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59198.097, cpu=129.0, cpu_max=37.5, mem=912863232, recv_bandwidth=0, sent_bandwidth=827
stats: component=ResourceConsumption, ts=59198.209, cpu=14.2, cpu_max=28.6, mem=913383424, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59198.320, cpu=71.7, cpu_max=14.3, mem=912478208, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59198.432, cpu=43.0, cpu_max=28.6, mem=912478208, recv_bandwidth=1633, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59198.543, cpu=113.6, cpu_max=28.6, mem=912478208, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59198.655, cpu=25.0, cpu_max=12.5, mem=912478208, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59198.766, cpu=43.0, cpu_max=25.0, mem=912478208, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59198.877, cpu=99.4, cpu_max=28.6, mem=912478208, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59198.988, cpu=100.3, cpu_max=14.3, mem=912478208, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59199.100, cpu=57.3, cpu_max=14.3, mem=916422656, recv_bandwidth=0, sent_bandwidth=822
stats: component=ResourceConsumption, ts=59199.211, cpu=0.0, cpu_max=14.3, mem=916422656, recv_bandwidth=3355, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59199.323, cpu=57.3, cpu_max=14.3, mem=915488768, recv_bandwidth=8132, sent_bandwidth=727
stats: component=ResourceConsumption, ts=59199.434, cpu=28.7, cpu_max=25.0, mem=915554304, recv_bandwidth=1655, sent_bandwidth=486
stats: component=ResourceConsumption, ts=59199.545, cpu=50.0, cpu_max=40.0, mem=914944000, recv_bandwidth=35472, sent_bandwidth=9861
stats: component=ResourceConsumption, ts=59199.656, cpu=99.4, cpu_max=14.3, mem=915423232, recv_bandwidth=995, sent_bandwidth=1465
stats: component=ResourceConsumption, ts=59199.768, cpu=0.0, cpu_max=14.3, mem=914649088, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59199.880, cpu=56.8, cpu_max=28.6, mem=914649088, recv_bandwidth=5949, sent_bandwidth=5017
stats: component=ResourceConsumption, ts=59199.991, cpu=100.3, cpu_max=28.6, mem=914649088, recv_bandwidth=65181, sent_bandwidth=14752
stats: component=ResourceConsumption, ts=59200.102, cpu=28.7, cpu_max=28.6, mem=914821120, recv_bandwidth=826, sent_bandwidth=826
stats: component=ResourceConsumption, ts=59200.213, cpu=0.0, cpu_max=14.3, mem=913592320, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59200.324, cpu=100.3, cpu_max=14.3, mem=913592320, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59200.436, cpu=37.5, cpu_max=40.0, mem=913592320, recv_bandwidth=2188, sent_bandwidth=484
stats: component=ResourceConsumption, ts=59200.547, cpu=14.3, cpu_max=37.5, mem=914087936, recv_bandwidth=538, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59200.658, cpu=14.2, cpu_max=14.3, mem=914087936, recv_bandwidth=16995, sent_bandwidth=4745
stats: component=ResourceConsumption, ts=59200.770, cpu=57.3, cpu_max=28.6, mem=912932864, recv_bandwidth=828, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59200.881, cpu=127.8, cpu_max=28.6, mem=912932864, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59200.993, cpu=57.3, cpu_max=25.0, mem=912932864, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59201.104, cpu=14.3, cpu_max=37.5, mem=912547840, recv_bandwidth=830, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59201.215, cpu=127.8, cpu_max=28.6, mem=912547840, recv_bandwidth=540, sent_bandwidth=1639
stats: component=ResourceConsumption, ts=59201.326, cpu=12.5, cpu_max=14.3, mem=912547840, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59201.437, cpu=14.3, cpu_max=12.5, mem=912547840, recv_bandwidth=1657, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59201.549, cpu=43.0, cpu_max=14.3, mem=912547840, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59201.660, cpu=42.6, cpu_max=28.6, mem=912547840, recv_bandwidth=17123, sent_bandwidth=4780
stats: component=ResourceConsumption, ts=59201.770, cpu=0.0, cpu_max=25.0, mem=912547840, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59201.882, cpu=28.4, cpu_max=14.3, mem=916484096, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59201.993, cpu=57.3, cpu_max=28.6, mem=916484096, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59202.105, cpu=28.7, cpu_max=28.6, mem=915550208, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59202.215, cpu=0.0, cpu_max=28.6, mem=915718144, recv_bandwidth=0, sent_bandwidth=831
stats: component=ResourceConsumption, ts=59202.327, cpu=75.0, cpu_max=25.0, mem=916586496, recv_bandwidth=19454, sent_bandwidth=1906
stats: component=ResourceConsumption, ts=59202.439, cpu=28.7, cpu_max=28.6, mem=916766720, recv_bandwidth=1664, sent_bandwidth=488
stats: component=ResourceConsumption, ts=59202.550, cpu=0.0, cpu_max=0.0, mem=917245952, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59202.662, cpu=0.0, cpu_max=37.5, mem=916471808, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59202.773, cpu=28.7, cpu_max=37.5, mem=916471808, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59202.884, cpu=56.8, cpu_max=28.6, mem=916643840, recv_bandwidth=32197, sent_bandwidth=13288
stats: component=ResourceConsumption, ts=59202.995, cpu=28.7, cpu_max=28.6, mem=916643840, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59203.107, cpu=75.0, cpu_max=28.6, mem=915415040, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59203.219, cpu=14.3, cpu_max=12.5, mem=915415040, recv_bandwidth=0, sent_bandwidth=829
stats: component=ResourceConsumption, ts=59203.331, cpu=56.8, cpu_max=25.0, mem=915910656, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59203.442, cpu=43.0, cpu_max=28.6, mem=915910656, recv_bandwidth=1653, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59203.553, cpu=57.3, cpu_max=37.5, mem=914755584, recv_bandwidth=35251, sent_bandwidth=9800
stats: component=ResourceConsumption, ts=59203.665, cpu=0.0, cpu_max=28.6, mem=914755584, recv_bandwidth=17186, sent_bandwidth=4798
stats: component=ResourceConsumption, ts=59203.777, cpu=14.3, cpu_max=25.0, mem=914755584, recv_bandwidth=0, sent_bandwidth=0
stats: component=ResourceConsumption, ts=59203.887, cpu=71.0, cpu_max=14.3, mem=915431424, recv_bandwidth=32012, sent_bandwidth=13212
stats: component=ResourceConsumption, ts=59203.999, cpu=12.5, cpu_max=12.5, mem=914366464, recv_bandwidth=35611, sent_bandwidth=9900
